A0A075B6S6	('T96060009133', 0)
Q9EQG6	('T101160003698', 23915)
Q9EQG9	('T100900002459', 23916)
Q9EQH3	('T100900016348', 23917)
Q9EQJ9	('T100900008453', 23918)
Q9EQK5	('T100900009250', 23919)
Q9EQK7	('T100900006717', 23920)
Q9EQL5	('T101160007058', 23921)
Q9EQN5	('T101160006657', 23922)
Q9EQN9	('T100900012853', 23923)
Q9EQP2	('T100900004374', 23924)
Q9EQP6	('T100900001003', 23925)
Q9EQQ2	('T100900016618', 23926)
Q9EQR3	('T100900007454', 23927)
Q9EQS0	('T101160007101', 23928)
Q9EQT6	('T100900014440', 23929)
Q9EQU3	('T100900015090', 23930)
Q9EQV6	('T101160007446', 23931)
Q9EQV8	('T101160001048', 23932)
Q9EQV9	('T101160001044', 23933)
Q9EQW7	('T100900007526', 23934)
Q9EQW8	('T100900009506', 23935)
Q9EQX9	('T101160007656', 23936)
Q9EQZ6	('T100900012600', 23937)
Q9ER00	('T100900014290', 23938)
Q9ER31	('T101160002282', 23939)
Q9ER34	('T101160000178', 23940)
Q9ER35	('T100900005193', 23941)
Q9ER38	('T100900015438', 23942)
Q9ER39	('T100900015434', 23943)
Q9ER58	('T100900015003', 23944)
Q9ER60	('T100900013180', 23945)
Q9ER62	('T100900015391', 23946)
Q9ER63	('T100900015392', 23947)
Q9ER71	('T100900012249', 23948)
Q9ER74	('T100900013045', 23949)
Q9ER80	('T100900012762', 23950)
Q9ER88	('T100900012731', 23951)
Q9ER97	('T100900009663', 23952)
Q9ER99	('T100900012684', 23953)
Q9ERA0	('T100900014898', 23954)
Q9ERA6	('T100900014909', 23955)
Q9ERA7	('T101160004414', 23956)
Q9ERB0	('T100900013754', 23957)
Q9ERB4	('T101160001700', 23958)
Q9ERC1	('T101160004506', 23959)
Q9ERC5	('T101160005030', 23960)
Q9ERC8	('T100900004140', 23961)
Q9ERD7	('T100900014648', 23962)
Q9ERD9	('T101160003291', 23963)
Q9ERE3	('T100900013391', 23964)
Q9ERE6	('T101160004380', 23965)
Q9ERF3	('T100900016453', 23966)
Q9ERG0	('T100900008016', 23967)
Q9ERH3	('T101160007899', 23968)
Q9ERH6	('T100900008952', 23969)
Q9ERH7	('T100900006367', 23970)
Q9ERI2	('T100900011939', 23971)
Q9ERI5	('T100900007223', 23972)
Q9ERI6	('T100900012044', 23973)
Q9ERK4	('T100900016574', 23974)
Q9ERL7	('T100900005737', 23975)
Q9ERL9	('T100900005550', 23976)
Q9ERM2	('T100900006709', 23977)
Q9ERR7	('T100900013299', 23978)
Q9ERR8	('T100900016854', 23979)
Q9ERS2	('T100900009519', 23980)
Q9ERS5	('T100900011023', 23981)
Q9ERW3	('T101160002506', 23982)
Q9ERZ0	('T100900006298', 23983)
Q9ERZ4	('T100900000246', 23984)
Q9ERZ6	('T100900005127', 23985)
Q9ES00	('T100900015982', 23986)
Q9ES02	('T101160004213', 23987)
Q9ES07	('T100900012842', 23988)
Q9ES08	('T101160003668', 23989)
Q9ES14	('T101160002713', 23990)
Q9ES19	('T101160000633', 23991)
Q9ES38	('T101160006314', 23992)
Q9ES40	('T101160005572', 23993)
Q9ES45	('T101160002105', 23994)
Q9ES52	('T100900013449', 23995)
Q9ES56	('T100900015486', 23996)
Q9ES58	('T101160004335', 23997)
Q9ES64	('T100900016171', 23998)
Q9ES70	('T100900009580', 23999)
Q9ES72	('T101160001117', 24000)
Q9ES74	('T100900009581', 24001)
Q9ES81	('T100900011248', 24002)
Q9ES83	('T100900011246', 24003)
Q9ES90	('T100900005888', 24004)
Q9ES97	('T100900012756', 24005)
Q9ESB3	('T100900006473', 24006)
Q9ESC8	('T100900000424', 24007)
Q9ESD1	('T100900011543', 24008)
Q9ESD7	('T100900004224', 24009)
Q9ESE2	('T101160007384', 24010)
Q9ESF1	('T100900010344', 24011)
Q9ESF4	('T100900007973', 24012)
Q9ESG9	('T100900011189', 24013)
Q9ESK9	('T100900011955', 24014)
Q9ESL0	('T100900013193', 24015)
Q9ESL9	('T100900005084', 24016)
Q9ESM0	('T101160003456', 24017)
Q9ESM6	('T100900005576', 24018)
Q9ESP1	('T100900013227', 24019)
Q9ESP4	('T101160002929', 24020)
Q9ESP5	('T100900005063', 24021)
Q9ESQ5	('T101160007534', 24022)
Q9ESR9	('T101160000083', 24023)
Q9ESS0	('T100900004168', 24024)
Q9EST5	('T100900000643', 24025)
Q9ESU6	('T100900001555', 24026)
Q9ESW0	('T101160001872', 24027)
Q9ESX4	('T100900009788', 24028)
Q9ESY6	('T101160004002', 24029)
Q9ESZ0	('T101160007944', 24030)
Q9ET35	('T100900015528', 24031)
Q9ET37	('T100900013005', 24032)
Q9ET38	('T100900002760', 24033)
Q9ET43	('T100900002753', 24034)
Q9ET54	('T100900010505', 24035)
Q9ET58	('T101160003742', 24036)
Q9ET77	('T100900007231', 24037)
Q9ET78	('T100900007230', 24038)
Q9ET80	('T100900007229', 24039)
Q9FDX1	('T37020013130', 24040)
Q9FDZ9	('T37020012068', 24041)
Q9FE20	('T37020009669', 24042)
Q9FE22	('T37020006572', 24043)
Q9FE25	('T37020008585', 24044)
Q9FE29	('T37020003232', 24045)
Q9FE58	('T37020012071', 24046)
Q9FE59	('T37020013583', 24047)
Q9FEB5	('T37020004103', 24048)
Q9FEE2	('T37020014206', 24049)
Q9FEN9	('T37020013048', 24050)
Q9FF10	('T37020006720', 24051)
Q9FF18	('T37020002041', 24052)
Q9FF52	('T37020012051', 24053)
Q9FF53	('T37020010098', 24054)
Q9FF66	('T37020014569', 24055)
Q9FF78	('T37020010293', 24056)
Q9FF79	('T37020008738', 24057)
Q9FF80	('T37020013639', 24058)
Q9FF81	('T37020014897', 24059)
Q9FF90	('T37020012054', 24060)
Q9FF98	('T37020008263', 24061)
Q9FF99	('T37020000109', 24062)
Q9FFA2	('T37020004172', 24063)
Q9FFA7	('T37020012583', 24064)
Q9FFB3	('T37020014865', 24065)
Q9FFC0	('T37020006443', 24066)
Q9FFD2	('T37020011878', 24067)
Q9FFD7	('T37020004104', 24068)
Q9FFD9	('T37020012971', 24069)
Q9FFE6	('T37020000099', 24070)
Q9FFF1	('T37020005572', 24071)
Q9FFF4	('T37020006983', 24072)
Q9FFF6	('T37020003840', 24073)
Q9FFH0	('T37020006064', 24074)
Q9FFH1	('T37020012251', 24075)
Q9FFH3	('T37020006909', 24076)
Q9FFH6	('T37020005459', 24077)
Q9FFI0	('T37020006529', 24078)
Q9FFI2	('T37020001198', 24079)
Q9FFK6	('T37020009192', 24080)
Q9FFK8	('T37020008883', 24081)
Q9FFL1	('T37020012273', 24082)
Q9FFN1	('T37020010710', 24083)
Q9FFR9	('T37020002561', 24084)
Q9FFT2	('T37020003243', 24085)
Q9FFT4	('T37020009725', 24086)
Q9FFU6	('T37020001406', 24087)
Q9FFW5	('T37020009887', 24088)
Q9FFY3	('T37020014794', 24089)
Q9FFY9	('T37020014334', 24090)
Q9FFZ6	('T37020011704', 24091)
Q9FFZ7	('T37020002227', 24092)
Q9FG14	('T37020008632', 24093)
Q9FG24	('T37020013419', 24094)
Q9FG30	('T37020001957', 24095)
Q9FG37	('T37020005680', 24096)
Q9FG68	('T37020011648', 24097)
Q9FG71	('T37020004372', 24098)
Q9FG74	('T37020003388', 24099)
Q9FG77	('T37020015119', 24100)
Q9FG93	('T37020008297', 24101)
Q9FGB0	('T37020001717', 24102)
Q9FGC5	('T37020007165', 24103)
Q9FGC7	('T37020015838', 24104)
Q9FGD2	('T37020015710', 24105)
Q9FGD6	('T37020003959', 24106)
Q9FGF0	('T37020009942', 24107)
Q9FGF8	('T37020000281', 24108)
Q9FGH4	('T37020004199', 24109)
Q9FGI6	('T37020008838', 24110)
Q9FGJ3	('T37020008895', 24111)
Q9FGK0	('T37020008836', 24112)
Q9FGK5	('T37020011564', 24113)
Q9FGM0	('T37020005615', 24114)
Q9FGM1	('T37020011469', 24115)
Q9FGN7	('T37020012794', 24116)
Q9FGP7	('T37020008909', 24117)
Q9FGQ2	('T37020013677', 24118)
Q9FGQ6	('T37020004219', 24119)
Q9FGQ9	('T37020005510', 24120)
Q9FGR0	('T37020002989', 24121)
Q9FGR9	('T37020002460', 24122)
Q9FGS0	('T37020002963', 24123)
Q9FGS5	('T37020009101', 24124)
Q9FGT8	('T37020014100', 24125)
Q9FGV1	('T37020000976', 24126)
Q9FGW5	('T37020002409', 24127)
Q9FGY3	('T37020008588', 24128)
Q9FGY9	('T37020010373', 24129)
Q9FH02	('T37020005609', 24130)
Q9FH09	('T37020006516', 24131)
Q9FH22	('T37020005506', 24132)
Q9FH32	('T37020001148', 24133)
Q9FH36	('T37020005778', 24134)
Q9FH57	('T37020005748', 24135)
Q9FH59	('T37020008764', 24136)
Q9FH66	('T37020001995', 24137)
Q9FH82	('T37020009555', 24138)
Q9FH92	('T37020007127', 24139)
Q9FH94	('T37020004449', 24140)
Q9FH97	('T37020004424', 24141)
Q9FHA7	('T37020006535', 24142)
Q9FHB6	('T37020004113', 24143)
Q9FHD3	('T37020003110', 24144)
Q9FHD5	('T37020003108', 24145)
Q9FHD7	('T37020001851', 24146)
Q9FHE1	('T37020006305', 24147)
Q9FHF1	('T37020000251', 24148)
Q9FHG2	('T37020012092', 24149)
Q9FHK1	('T37020004873', 24150)
Q9FHK4	('T37020004272', 24151)
Q9FHK7	('T37020015685', 24152)
Q9FHM4	('T37020007942', 24153)
Q9FHM5	('T37020000600', 24154)
Q9FHM7	('T37020006647', 24155)
Q9FHN6	('T37020013146', 24156)
Q9FHN8	('T37020007315', 24157)
Q9FHP6	('T37020002209', 24158)
Q9FHQ3	('T37020006736', 24159)
Q9FHQ6	('T37020014639', 24160)
Q9FHW2	('T37020013660', 24161)
Q9FHW7	('T37020013142', 24162)
Q9FHX5	('T37020004186', 24163)
Q9FHZ1	('T37020012810', 24164)
Q9FHZ2	('T37020008099', 24165)
Q9FI13	('T37020012343', 24166)
Q9FI19	('T37020002801', 24167)
Q9FI21	('T37020001486', 24168)
Q9FI43	('T37020007997', 24169)
Q9FI53	('T37020005630', 24170)
Q9FI56	('T37020002729', 24171)
Q9FI76	('T37020003906', 24172)
Q9FI94	('T37020003821', 24173)
Q9FI98	('T37020014486', 24174)
Q9FI99	('T37020014483', 24175)
Q9FIB2	('T37020010720', 24176)
Q9FID5	('T37020015676', 24177)
Q9FID6	('T37020015675', 24178)
Q9FID8	('T37020015730', 24179)
Q9FIE3	('T37020014843', 24180)
Q9FIF3	('T37020012504', 24181)
Q9FIF7	('T37020010782', 24182)
Q9FIF8	('T37020012744', 24183)
Q9FIH5	('T37020014725', 24184)
Q9FIH8	('T37020013366', 24185)
Q9FIH9	('T37020002794', 24186)
Q9FII7	('T37020013178', 24187)
Q9FIK0	('T37020009914', 24188)
Q9FIK7	('T37020014024', 24189)
Q9FIM2	('T37020005613', 24190)
Q9FIM9	('T37020002168', 24191)
Q9FIN1	('T37020000084', 24192)
Q9FIN7	('T37020008249', 24193)
Q9FIP9	('T37020008607', 24194)
Q9FIR9	('T37020007797', 24195)
Q9FIS1	('T37020000502', 24196)
Q9FIT8	('T37020000472', 24197)
Q9FIU5	('T37020003056', 24198)
Q9FIU6	('T37020009353', 24199)
Q9FIW4	('T37020001613', 24200)
Q9FIW9	('T37020015851', 24201)
Q9FIX0	('T37020000517', 24202)
Q9FIX5	('T37020001677', 24203)
Q9FIX8	('T37020009684', 24204)
Q9FIY7	('T37020013166', 24205)
Q9FIZ3	('T37020006280', 24206)
Q9FJ10	('T37020005728', 24207)
Q9FJ21	('T37020010306', 24208)
Q9FJ57	('T37020014313', 24209)
Q9FJ62	('T37020006193', 24210)
Q9FJ70	('T37020005388', 24211)
Q9FJ81	('T37020002295', 24212)
Q9FJ90	('T37020004467', 24213)
Q9FJ93	('T37020004008', 24214)
Q9FJ98	('T37020012335', 24215)
Q9FJA2	('T37020014378', 24216)
Q9FJA6	('T37020012489', 24217)
Q9FJB5	('T37020012319', 24218)
Q9FJD0	('T37020014867', 24219)
Q9FJD1	('T37020009324', 24220)
Q9FJD4	('T37020006985', 24221)
Q9FJG2	('T37020015716', 24222)
Q9FJH6	('T37020000179', 24223)
Q9FJH8	('T37020009097', 24224)
Q9FJI4	('T37020007603', 24225)
Q9FJI5	('T37020005676', 24226)
Q9FJK3	('T37020000516', 24227)
Q9FJK8	('T37020012320', 24228)
Q9FJL4	('T37020001664', 24229)
Q9FJN8	('T37020011559', 24230)
Q9FJP2	('T37020008568', 24231)
Q9FJP3	('T37020012021', 24232)
Q9FJP9	('T37020012930', 24233)
Q9FJQ5	('T37020004344', 24234)
Q9FJR0	('T37020011801', 24235)
Q9FJR1	('T37020009867', 24236)
Q9FJS2	('T37020006526', 24237)
Q9FJT6	('T37020004558', 24238)
Q9FJT7	('T37020008816', 24239)
Q9FJT8	('T37020006497', 24240)
Q9FJT9	('T37020010967', 24241)
Q9FJV5	('T37020007210', 24242)
Q9FJX2	('T37020012076', 24243)
Q9FJX5	('T37020001860', 24244)
Q9FJZ3	('T37020007979', 24245)
Q9FK07	('T37020002746', 24246)
Q9FK14	('T37020007532', 24247)
Q9FK25	('T37020009297', 24248)
Q9FK43	('T37020013091', 24249)
Q9FK53	('T37020008984', 24250)
Q9FK63	('T37020002221', 24251)
Q9FK68	('T37020011548', 24252)
Q9FK72	('T37020006565', 24253)
Q9FK88	('T37020007025', 24254)
Q9FKA5	('T37020015732', 24255)
Q9FKA7	('T37020009356', 24256)
Q9FKA9	('T37020007448', 24257)
Q9FKB6	('T37020015729', 24258)
Q9FKC0	('T37020011507', 24259)
Q9FKD7	('T37020013087', 24260)
Q9FKF6	('T37020002356', 24261)
Q9FKG2	('T37020004284', 24262)
Q9FKH1	('T37020012668', 24263)
Q9FKH6	('T37020001416', 24264)
Q9FKI0	('T37020005390', 24265)
Q9FKJ0	('T37020005431', 24266)
Q9FKK2	('T37020000507', 24267)
Q9FKK7	('T37020015252', 24268)
Q9FKL2	('T37020008558', 24269)
Q9FKM7	('T37020006847', 24270)
Q9FKP0	('T37020011183', 24271)
Q9FKP2	('T37020002358', 24272)
Q9FKP8	('T37020015856', 24273)
Q9FKS0	('T37020014679', 24274)
Q9FKS4	('T37020001322', 24275)
Q9FKT0	('T37020001046', 24276)
Q9FKT1	('T37020007605', 24277)
Q9FKT3	('T37020014578', 24278)
Q9FKT5	('T37020014047', 24279)
Q9FKT8	('T37020002935', 24280)
Q9FKT9	('T37020008739', 24281)
Q9FKV0	('T37020001482', 24282)
Q9FKV1	('T37020000806', 24283)
Q9FKV2	('T37020001481', 24284)
Q9FKY4	('T37020010077', 24285)
Q9FKZ0	('T37020004062', 24286)
Q9FKZ1	('T37020004061', 24287)
Q9FKZ3	('T37020007485', 24288)
Q9FL03	('T37020012821', 24289)
Q9FL12	('T37020003572', 24290)
Q9FL25	('T37020007222', 24291)
Q9FL26	('T37020015124', 24292)
Q9FL44	('T37020008354', 24293)
Q9FL59	('T37020005601', 24294)
Q9FL63	('T37020015679', 24295)
Q9FL69	('T37020000476', 24296)
Q9FL92	('T37020012422', 24297)
Q9FLA5	('T37020000945', 24298)
Q9FLB1	('T37020011466', 24299)
Q9FLB6	('T37020010977', 24300)
Q9FLC6	('T37020001283', 24301)
Q9FLD7	('T37020006351', 24302)
Q9FLD8	('T37020010755', 24303)
Q9FLE8	('T37020015734', 24304)
Q9FLG1	('T37020001878', 24305)
Q9FLG2	('T37020008396', 24306)
Q9FLH5	('T37020000514', 24307)
Q9FLH8	('T37020012893', 24308)
Q9FLI0	('T37020001699', 24309)
Q9FLI1	('T37020001638', 24310)
Q9FLI3	('T37020009502', 24311)
Q9FLI7	('T37020008853', 24312)
Q9FLL4	('T37020011378', 24313)
Q9FLM3	('T37020015824', 24314)
Q9FLM8	('T37020009085', 24315)
Q9FLN4	('T37020012019', 24316)
Q9FLN8	('T37020006856', 24317)
Q9FLN9	('T37020011445', 24318)
Q9FLP0	('T37020007940', 24319)
Q9FLP3	('T37020008223', 24320)
Q9FLP9	('T37020005951', 24321)
Q9FLR1	('T37020008552', 24322)
Q9FLR5	('T37020013177', 24323)
Q9FLT2	('T37020007051', 24324)
Q9FLT9	('T37020006711', 24325)
Q9FLU1	('T37020001750', 24326)
Q9FLV0	('T37020003898', 24327)
Q9FLV9	('T37020013152', 24328)
Q9FLW0	('T37020015654', 24329)
Q9FLW2	('T37020005584', 24330)
Q9FLX9	('T37020008985', 24331)
Q9FM01	('T37020014661', 24332)
Q9FM19	('T37020006644', 24333)
Q9FM64	('T37020010778', 24334)
Q9FM68	('T37020001442', 24335)
Q9FM80	('T37020008475', 24336)
Q9FMA9	('T37020006012', 24337)
Q9FMC2	('T37020001898', 24338)
Q9FMC8	('T37020009307', 24339)
Q9FMD5	('T37020014082', 24340)
Q9FMD7	('T37020015705', 24341)
Q9FME2	('T37020009123', 24342)
Q9FME5	('T37020002876', 24343)
Q9FMF6	('T37020010791', 24344)
Q9FMH5	('T37020002280', 24345)
Q9FMJ0	('T37020009526', 24346)
Q9FML2	('T37020006515', 24347)
Q9FMM7	('T37020000619', 24348)
Q9FMP0	('T37020008104', 24349)
Q9FMP3	('T37020003996', 24350)
Q9FMP5	('T37020002427', 24351)
Q9FMP8	('T37020011849', 24352)
Q9FMR3	('T37020008703', 24353)
Q9FMR5	('T37020014769', 24354)
Q9FMR9	('T37020011987', 24355)
Q9FMS7	('T37020009244', 24356)
Q9FMT4	('T37020013224', 24357)
Q9FMU6	('T37020008352', 24358)
Q9FMV5	('T37020008907', 24359)
Q9FMW8	('T37020011966', 24360)
Q9FMX3	('T37020013541', 24361)
Q9FMX7	('T37020008940', 24362)
Q9FMY1	('T37020002083', 24363)
Q9FN05	('T37020011173', 24364)
Q9FN08	('T37020001555', 24365)
Q9FN11	('T37020007486', 24366)
Q9FN15	('T37020006046', 24367)
Q9FN18	('T37020009065', 24368)
Q9FN26	('T37020014507', 24369)
Q9FN29	('T37020001172', 24370)
Q9FN37	('T37020011171', 24371)
Q9FN41	('T37020008468', 24372)
Q9FN48	('T37020002230', 24373)
Q9FN50	('T37020002983', 24374)
Q9FN52	('T37020007971', 24375)
Q9FN69	('T37020006042', 24376)
Q9FN75	('T37020000137', 24377)
Q9FN92	('T37020015696', 24378)
Q9FNA2	('T37020009590', 24379)
Q9FNB0	('T37020002525', 24380)
Q9FNC7	('T37020013650', 24381)
Q9FND4	('T37020015001', 24382)
Q9FNF2	('T37020013484', 24383)
Q9FNH4	('T37020009173', 24384)
Q9FNI3	('T37020015701', 24385)
Q9FNI6	('T37020013165', 24386)
Q9FNJ8	('T37020001034', 24387)
Q9FNK5	('T37020004895', 24388)
Q9FNL3	('T37020003894', 24389)
Q9FNL8	('T37020011271', 24390)
Q9FNM7	('T37020011898', 24391)
Q9FNN2	('T37020014997', 24392)
Q9FNP8	('T37020012459', 24393)
Q9FNP9	('T37020000465', 24394)
Q9FNQ1	('T37020003588', 24395)
Q9FNR1	('T37020011665', 24396)
Q9FNR3	('T37020004211', 24397)
Q9FNV8	('T37020008527', 24398)
Q9FNV9	('T37020008526', 24399)
Q9FNY3	('T37020003972', 24400)
Q9FNY4	('T37020003994', 24401)
Q9FNZ1	('T37020001968', 24402)
Q9FNZ4	('T37020008958', 24403)
Q9FNZ5	('T37020008956', 24404)
Q9FPH3	('T37020014011', 24405)
Q9FPQ8	('T37020007364', 24406)
Q9FPR3	('T37020004269', 24407)
Q9FPT1	('T37020014604', 24408)
Q9FPW6	('T37020010386', 24409)
Q9FQ02	('T37020015209', 24410)
Q9FQ08	('T37020007408', 24411)
Q9FQ09	('T37020007409', 24412)
Q9FQ19	('T37020012791', 24413)
Q9FR53	('T37020014221', 24414)
Q9FRH4	('T37020006901', 24415)
Q9FRH7	('T37020014139', 24416)
Q9FRI0	('T37020008173', 24417)
Q9FRK5	('T37020015335', 24418)
Q9FRL3	('T37020004439', 24419)
Q9FRL5	('T37020015860', 24420)
Q9FRL8	('T37020003809', 24421)
Q9FT52	('T37020001302', 24422)
Q9FT69	('T37020012386', 24423)
Q9FT70	('T37020012384', 24424)
Q9FT74	('T37020012381', 24425)
Q9FT81	('T37020014379', 24426)
Q9FUA4	('T37020013383', 24427)
Q9FUD3	('T37020001886', 24428)
Q9FUG4	('T37020015197', 24429)
Q9FUJ2	('T37020002666', 24430)
Q9FUQ7	('T37020002831', 24431)
Q9FUS8	('T37020006322', 24432)
Q9FUS9	('T37020006323', 24433)
Q9FUT0	('T37020006314', 24434)
Q9FUT1	('T37020006319', 24435)
Q9FUY2	('T37020007553', 24436)
Q9FV49	('T37020007994', 24437)
Q9FV52	('T37020007991', 24438)
Q9FVC1	('T37020013654', 24439)
Q9FVE6	('T37020006530', 24440)
Q9FVI6	('T37020005645', 24441)
Q9FVQ4	('T37020010176', 24442)
Q9FVQ5	('T37020003140', 24443)
Q9FVQ6	('T37020010068', 24444)
Q9FVR6	('T37020015302', 24445)
Q9FVS9	('T37020002094', 24446)
Q9FVW4	('T37020011803', 24447)
Q9FVX0	('T37020002274', 24448)
Q9FVX1	('T37020006255', 24449)
Q9FW44	('T37020000416', 24450)
Q9FWA4	('T37020005775', 24451)
Q9FWR5	('T37020005791', 24452)
Q9FWS9	('T37020001762', 24453)
Q9FWW3	('T37020006341', 24454)
Q9FWW9	('T37020006337', 24455)
Q9FWX2	('T37020008695', 24456)
Q9FWX7	('T37020000146', 24457)
Q9FWY9	('T37020005760', 24458)
Q9FX08	('T37020009439', 24459)
Q9FX32	('T37020013623', 24460)
Q9FX45	('T37020009354', 24461)
Q9FX53	('T37020014005', 24462)
Q9FX54	('T37020005668', 24463)
Q9FX55	('T37020013272', 24464)
Q9FX67	('T37020006733', 24465)
Q9FX86	('T37020002172', 24466)
Q9FX94	('T37020003330', 24467)
Q9FXA2	('T37020009550', 24468)
Q9FXA3	('T37020001680', 24469)
Q9FXA7	('T37020011882', 24470)
Q9FXA8	('T37020007021', 24471)
Q9FXB2	('T37020006161', 24472)
Q9FXD6	('T37020001052', 24473)
Q9FXE5	('T37020005628', 24474)
Q9FXF2	('T37020012040', 24475)
Q9FXG8	('T37020001758', 24476)
Q9FXH5	('T37020011380', 24477)
Q9FXH6	('T37020002854', 24478)
Q9FXH7	('T37020013462', 24479)
Q9FXJ2	('T37020005896', 24480)
Q9FXT6	('T37020009897', 24481)
Q9FY48	('T37020007263', 24482)
Q9FY49	('T37020007604', 24483)
Q9FY54	('T37020013372', 24484)
Q9FY61	('T37020014283', 24485)
Q9FY64	('T37020012444', 24486)
Q9FY69	('T37020001715', 24487)
Q9FY82	('T37020008697', 24488)
Q9FY89	('T37020014862', 24489)
Q9FY93	('T37020008698', 24490)
Q9FYA2	('T37020015117', 24491)
Q9FYB5	('T37020003908', 24492)
Q9FYC2	('T37020009595', 24493)
Q9FYC4	('T37020004681', 24494)
Q9FYE1	('T37020008044', 24495)
Q9FYE2	('T37020010129', 24496)
Q9FYE6	('T37020001684', 24497)
Q9FYK0	('T37020014154', 24498)
Q9FYK2	('T37020002781', 24499)
Q9FYK5	('T37020004555', 24500)
Q9FYL3	('T37020000687', 24501)
Q9FYL8	('T37020008878', 24502)
Q9FYR6	('T37020013742', 24503)
Q9FYR7	('T37020012825', 24504)
Q9FYS5	('T45770000292', 24505)
Q9FZ33	('T37020001376', 24506)
Q9FZ42	('T37020000418', 24507)
Q9FZ47	('T37020000358', 24508)
Q9FZ49	('T37020000719', 24509)
Q9FZ54	('T37020009700', 24510)
Q9FZ59	('T37020009805', 24511)
Q9FZ62	('T37020010960', 24512)
Q9FZ75	('T37020002770', 24513)
Q9FZ76	('T37020012118', 24514)
Q9FZ87	('T37020005984', 24515)
Q9FZ90	('T37020004500', 24516)
Q9FZ96	('T37020011386', 24517)
Q9FZA0	('T37020012175', 24518)
Q9FZB8	('T37020015648', 24519)
Q9FZC7	('T37020005540', 24520)
Q9FZD1	('T37020010912', 24521)
Q9FZD9	('T37020004166', 24522)
Q9FZE0	('T37020001611', 24523)
Q9FZG4	('T37020006823', 24524)
Q9FZH0	('T37020011530', 24525)
Q9FZH5	('T37020008356', 24526)
Q9FZI8	('T37020007499', 24527)
Q9FZJ1	('T37020007092', 24528)
Q9FZK0	('T37020013339', 24529)
Q9FZK1	('T37020005274', 24530)
Q9GL76	('T98230000852', 24531)
Q9GLG4	('T98230001202', 24532)
Q9GLX8	('T98230000171', 24533)
Q9GN62	('T62390002158', 24534)
Q9GNK5	('T72270002324', 24535)
Q9GPF1	('T446890000202', 24536)
Q9GPM2	('T446890002078', 24537)
Q9GPM4	('T446890002125', 24538)
Q9GPQ8	('T446890002454', 24539)
Q9GPR7	('T446890002451', 24540)
Q9GPS0	('T446890002450', 24541)
Q9GQF1	('T72270001528', 24542)
Q9GQQ0	('T72270002943', 24543)
Q9GT24	('T62390004071', 24544)
Q9GUM2	('T62390000274', 24545)
Q9GYI0	('T62390001462', 24546)
Q9GYV5	('T72270001974', 24547)
Q9GYV9	('T72270001772', 24548)
Q9GZK3	('T96060012034', 24549)
Q9GZK4	('T96060012048', 24550)
Q9GZK6	('T96060012051', 24551)
Q9GZL7	('T96060019249', 24552)
Q9GZM5	('T96060019507', 24553)
Q9GZM6	('T96060012215', 24554)
Q9GZM7	('T96060017609', 24555)
Q9GZM8	('T96060011025', 24556)
Q9GZN0	('T96060007012', 24557)
Q9GZP0	('T96060012760', 24558)
Q9GZP1	('T96060011534', 24559)
Q9GZP9	('T96060004499', 24560)
Q9GZQ3	('T96060003577', 24561)
Q9GZQ8	('T96060010362', 24562)
Q9GZR2	('T96060014360', 24563)
Q9GZR7	('T96060004426', 24564)
Q9GZT5	('T96060019342', 24565)
Q9GZT6	('T96060002412', 24566)
Q9GZT8	('T96060011241', 24567)
Q9GZT9	('T96060005141', 24568)
Q9GZU1	('T96060010042', 24569)
Q9GZV1	('T96060000828', 24570)
Q9GZV9	('T96060006050', 24571)
Q9GZX7	('T96060000609', 24572)
Q9GZX9	('T96060018610', 24573)
Q9GZY0	('T96060011686', 24574)
Q9GZY4	('T96060003521', 24575)
Q9GZZ6	('T96060000320', 24576)
Q9GZZ7	('T96060006643', 24577)
Q9H000	('T96060010341', 24578)
Q9H013	('T96060000430', 24579)
Q9H061	('T96060016972', 24580)
Q9H063	('T96060009847', 24581)
Q9H079	('T96060009090', 24582)
Q9H082	('T96060014160', 24583)
Q9H093	('T96060011627', 24584)
Q9H0A6	('T96060014788', 24585)
Q9H0A9	('T96060016354', 24586)
Q9H0B3	('T96060008254', 24587)
Q9H0B8	('T96060003864', 24588)
Q9H0C1	('T96060019846', 24589)
Q9H0C3	('T96060017694', 24590)
Q9H0C8	('T96060008110', 24591)
Q9H0E3	('T96060016297', 24592)
Q9H0E7	('T96060018817', 24593)
Q9H0E9	('T96060001795', 24594)
Q9H0F5	('T96060014791', 24595)
Q9H0H0	('T96060008196', 24596)
Q9H0H5	('T96060014407', 24597)
Q9H0I2	('T96060005295', 24598)
Q9H0I9	('T96060017642', 24599)
Q9H0K4	('T96060014989', 24600)
Q9H0K6	('T96060013905', 24601)
Q9H0L4	('T96060003977', 24602)
Q9H0M4	('T96060019738', 24603)
Q9H0N5	('T96060012979', 24604)
Q9H0Q0	('T96060005779', 24605)
Q9H0Q3	('T96060006362', 24606)
Q9H0S4	('T96060004437', 24607)
Q9H0U4	('T96060014015', 24608)
Q9H0U6	('T96060014661', 24609)
Q9H0U9	('T96060018423', 24610)
Q9H0V1	('T96060017733', 24611)
Q9H0W5	('T96060002473', 24612)
Q9H0W7	('T96060017505', 24613)
Q9H0W8	('T96060016101', 24614)
Q9H0W9	('T96060003166', 24615)
Q9H0X4	('T96060005704', 24616)
Q9H0X6	('T96060014749', 24617)
Q9H0X9	('T96060012264', 24618)
Q9H158	('T96060012650', 24619)
Q9H160	('T96060008153', 24620)
